"","raw_reads","trimmed_reads","genome_mapped_reads","median_insert_size","sd_insert_size","genome_mapped_read_pairs_noops","genome_mapped_read_pairs","read_pairs_assigned_to_features","unmapped","mapping_quality_below_threshold","not_uniquely_mapped","not_mapped_to_feature","ambiguous_feature_mapping"
"F_SA_car_1",21011910,20328422,19396793,175,83.929951,9698912,9698912,8734779,465299,1031,205150,584894,173058
"M_SA_car_1",32247052,31291450,29458418,172,83.963032,14729558,14729558,13129163,916167,698,301345,984108,314244
"F_SA_car_2",26135244,25653374,24115012,164,75.870023,12058127,12058127,10815960,768560,1242,286609,747476,206840
"F_SA_car_3",34243506,33287376,30181217,159,81.774773,15091503,15091503,13357295,1552185,1789,375909,1086808,269702
"M_UC_car_4",31551308,30724572,28528153,158,75.940385,14265015,14265015,12579643,1097271,1877,226039,1116860,340596
"F_SA_car_4",24202672,23504208,21529552,159,77.42241,10765406,10765406,9775015,986698,1260,224175,557348,207608
"F_SA_car_5",31895388,30045426,25847746,155,83.48669,12924558,12924558,11651639,2098155,1370,282991,747224,241334
"M_SA_car_5",25935780,24367012,20254099,143,70.66854,10127548,10127548,8810645,2055958,997,233973,851351,230582
"F_2h_hem_1",24316376,23370534,21074601,156,63.58879,10537474,10537474,8581154,1147793,347,190659,1642360,122954
"M_2h_hem_1",36225988,34862188,30779834,156,68.909152,15390127,15390127,12814549,2040967,420,307254,2051883,216021
"F_4h_hem_1",19240100,18308990,16768128,164,67.736205,8384206,8384206,6761764,770289,284,144709,1376487,100962
"M_4h_hem_1",15362688,14463452,13186810,167,78.712167,6593542,6593542,5503807,638184,274,150555,843197,95709
"F_UC_hem_2",32263536,30729318,24540823,171,75.069048,12270897,12270897,4983481,3093762,971,297359,6916837,72249
"F_2h_hem_2",39717270,37381488,34304137,177,72.017073,17152795,17152795,6907967,1537949,1453,266609,9872016,104750
"F_4h_hem_2",43185278,40343044,29188550,159,66.109556,14594727,14594727,6288702,5576795,904,341898,7871213,92010
"M_UC_hem_2",31309502,29894034,27787209,162,65.491219,13894030,13894030,6250506,1052987,851,282258,7259488,100927
"M_2h_hem_2",29671932,28022750,25062556,163,66.673026,12531609,12531609,5728061,1479766,662,232289,6479468,91129
"M_4h_hem_2",88635084,85364936,78967724,166,72.006352,39485127,39485127,16646233,3197341,2530,907857,21620361,308146
"F_UC_hem_3",24884672,24082302,22669287,180,72.871121,11335099,11335099,5093967,706052,911,264433,5904449,71339
"F_2h_hem_3",23507460,22269924,20500872,189,90.723705,10251541,10251541,2964877,883421,2210,187677,7052371,44406
"F_4h_hem_3",23529676,22820916,21268495,175,70.671848,10634596,10634596,4503191,775862,697,209608,5848143,72957
"M_UC_hem_3",39547482,38129022,35405720,160,65.612056,17703318,17703318,8166878,1361193,916,341234,9064645,129645
"M_2h_hem_3",32822928,31746704,29594006,161,69.67033,14797435,14797435,6400808,1075917,864,352478,7923155,120130
"M_4h_hem_3",31405564,30387464,26754646,156,68.902281,13377668,13377668,5495369,1816064,690,283752,7494834,103023
"F_UC_hem_4",27250162,25957432,23342571,162,70.137312,11671610,11671610,5324425,1307106,649,220310,6049502,76724
"F_2h_hem_4",26423006,24888918,18126956,159,70.768973,9063774,9063774,3623461,3380685,592,159571,5224942,55208
"F_4h_hem_4",31890128,29973664,25402528,161,71.594895,12701818,12701818,3576757,2285014,1108,171740,8896632,55581
"M_2h_hem_4",60934804,58569442,54151041,164,72.541672,27076399,27076399,12165500,2208322,1757,664448,14045691,199003
"M_4h_hem_4",27581606,26565298,23079993,173,74.773385,11540362,11540362,5209495,1742287,731,267157,5971287,91692
